,Food waste tracker 2018,,,,,,,,,CUPS DIVERTED,
Months,Kg from grocery to:,,,,Kg from café to:,,,,2018,"4,462",From 10/22/2018 to 02/27/2019
,café,compost,staff,,compost,staff,,,2019,"10,127",From 01/01/2019 to 12/31/2019
,,,,,mostly food prep,mostly leftovers,,,2020,"2,147",From 01/01/2020 to 03/31/2020
October,171.565,50.846,7.258,,,,,,Total,"16,736",
November,,,,,,,,,,,
December,241.716,33.109,28.315,,43.789,6.624,,,,,
Total 2018,413.281,83.955,35.573,,43.789,6.624,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Food waste tracker 2019,,,,,,,,,,
Months,Kg from grocery to:,,,,,Kg from café to:,,,,,
,café,compost,staff,,Harvest use,compost,staff,,,,
,,,,,,mostly food prep,mostly leftovers,,,,
January,154.361,25.091,31.342,,-,44.389,15.865,,,,
Febuary,143.078,14.259,24.515,,2.684,33.538,19.963,,,,
March,96.194,32.733,29.424,,9.884,49.126,33.116,,,,
April,112.26,19.726,28.848,,25.752,22.831,17.918,,,,
May,85.519,15.392,29.272,,37.203,28.206,4.296,,,,
June,9.353,8.901,15.349,,16.946,13.364,1.101,,,,
July,100.208,16.751,19.22,,39.05,18.3,0.456,158.934,,,
August,118.571,17.96,36.754,,28.414,31.911,5.992,189.731,,,
September,263.593,12.585,24.93,,19.033,28.133,4.599,312.155,660.82,,
October,89.103,29.542,36.172,,20.966,49.063,7.385,,,,
November,80.703,66.987,22.237,,13.232,38.593,4.389,,,,
December,114.377,65.314,59.932,,12.291,50.908,6.221,,,,
Total 2019,1367.32,325.241,357.995,,225.455,408.362,121.301,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Food waste tracker 2020,,,,,,,,,,
Months,Kg from grocery to:,,,,,Kg from café to:,,,,,
,café,compost,staff,Donations,Harvest use,compost,staff,,,,
,,,,,,mostly food prep,mostly leftovers,,,,
January,81.715,24.126,46.214,,15.762,39.941,7.574,,,,
Febuary,102.51,39.372,42.047,,15.764,54.455,1.739,,,,
March,45.970,34.053,52.931,,10.892,36.372,3.4,,,,
April,,,,,,,,,,,
May,,,,,,,,,,,
June,,,,,,,,,,,
July,,,,,,,,,,,
August,,,,,,,,,,,
September,,,,,,,,,,,
October,,,,,,,,,,,
November,,,,,,,,,,,
December,,,,,,,,,,,
Total 2020,230.195,97.551,141.192,0,42.418,130.768,12.713,,,,
,,,,,,,,,,,
Total since,"2,010.796",506.747,534.76,0,267.873,582.919,140.638,2072.071,,,
opening café,,,,,,,,,,,
